,City,Unnamed: 0,ID,Date,DateType,Age,Sex,Race,ResidenceCity,ResidenceCounty,ResidenceState,DeathCounty,Location,LocationifOther,DescriptionofInjury,InjuryPlace,InjuryCity,InjuryCounty,InjuryState,COD,OtherSignifican,Heroin,Cocaine,Fentanyl,Oxycodone,Oxymorphone,Ethanol,Hydrocodone,Benzodiazepine,Methadone,Amphetamine,Tramadol,Morphine Not Heroin,Hydromorphone,Other,MannerofDeath,Latitude,Longitude
188,UNIONVILLE,4,4,4,4,4,4,4,4,3,2,4,4,2,4,4,2,2,1,4,0,3,0,3,2,0,0,0,2,0,0,0,0,0,0,4,41.7602365,-72.8888458
189,VERNON,47,47,47,47,47,47,47,47,36,29,38,47,3,42,46,25,18,10,47,2,18,10,22,5,1,15,5,14,1,2,5,0,0,7,47,41.8186802,-72.47903699999999
190,VERNON-ROCKVILLE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,41.8186802,-72.47903699999999
191,VOLUNTOWN,4,4,4,4,4,4,4,4,3,3,3,4,1,3,4,2,1,1,4,0,2,1,2,1,0,3,0,1,0,0,1,0,0,1,4,41.5725461,-71.8683346
192,W HAVEN,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,41.2705484,-72.9469711
193,WALLINGFORD,36,36,36,36,36,36,36,36,30,24,25,36,3,31,36,23,13,8,36,2,17,11,10,6,2,14,1,13,4,1,1,1,0,7,36,41.4570108,-72.8230736
194,WARREN,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,41.7428733,-73.3487303
195,WASHINGTON,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,41.630267,-73.3107223
196,WATERBURY,355,355,355,355,355,355,355,355,308,253,294,354,29,294,354,227,167,92,355,11,195,127,143,31,4,87,5,89,45,11,10,2,2,30,354,41.5581525,-73.0514965
197,WATERFORD,9,9,9,9,9,9,9,9,9,7,7,9,1,8,9,6,4,4,9,0,3,2,2,3,1,1,0,5,0,0,0,0,0,1,9,41.3542395,-72.164816
198,WATERTOWN,21,21,21,21,21,21,21,21,21,19,16,21,3,18,21,18,14,6,21,2,9,8,14,3,0,8,0,6,1,1,1,0,0,5,21,41.6062042,-73.11833969999999
199,WAUREGAN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,41.7442655,-71.9092393
200,WEATOGUE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,41.8437093,-72.8284317
201,WEST HARTFORD,31,31,31,31,31,31,31,31,30,26,25,31,5,29,31,25,18,10,31,0,13,13,17,3,0,6,1,7,0,1,2,0,1,0,30,41.7620842,-72.7420151
202,WEST HAVEN,69,69,69,69,69,69,69,69,65,55,51,69,8,55,69,48,30,22,69,4,31,22,22,15,2,20,1,20,9,0,0,0,0,8,69,41.2705484,-72.9469711
203,WEST STAFFORD,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.970652,-72.35508159999999
204,WEST SUFFIELD,3,3,3,3,3,3,3,3,3,3,2,3,0,3,3,3,2,1,3,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,3,42.0185603,-72.74665929999999
205,WESTBROOK,11,11,11,11,11,11,11,11,11,11,9,11,0,7,11,9,7,3,11,1,5,1,5,2,0,3,0,2,2,1,0,0,0,1,11,41.2959741,-72.4641563
206,WESTON,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,41.2009294,-73.3806748
207,WESTPORT,3,3,3,3,3,3,3,3,3,2,2,3,1,3,3,2,1,0,3,0,2,1,1,0,0,1,1,1,0,0,0,0,0,0,3,41.1414717,-73.3579049
208,WETHERSFIELD,28,28,28,28,28,28,28,28,23,21,23,28,10,24,28,19,15,9,28,1,14,8,14,4,0,12,0,7,1,2,0,0,1,3,28,41.7063537,-72.6596244
209,WILLIMANTIC,47,47,47,47,47,47,47,47,41,32,35,47,4,39,46,28,19,13,47,1,27,8,18,9,0,9,1,8,2,0,4,0,0,1,47,41.7106543,-72.2081338
210,WILLINGTON,6,6,6,6,6,6,6,6,6,5,3,6,1,5,6,5,2,1,6,0,2,1,1,1,0,2,0,1,1,0,0,0,0,2,6,41.8809434,-72.2600655
211,WILTON,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.1953739,-73.4378988
212,WINCHESTER,7,7,7,7,7,7,7,7,7,5,6,6,2,6,7,4,3,3,7,0,3,4,3,2,0,1,1,2,0,0,0,0,0,0,7,41.9357632,-73.111356
213,WINDHAM,8,8,8,8,8,8,8,8,7,7,5,8,0,5,7,6,2,3,8,0,6,2,4,2,0,0,0,2,0,0,0,1,0,1,8,41.6998208,-72.1570219
214,WINDSOR,24,24,24,24,24,24,24,24,18,15,18,24,5,21,23,14,9,4,24,2,11,8,11,1,0,11,1,4,1,1,0,0,0,1,24,41.8525984,-72.64370219999999
215,WINDSOR LOCKS,20,20,20,20,20,20,20,20,19,16,19,20,1,14,20,13,12,9,20,0,8,4,8,0,0,6,1,5,1,0,0,1,0,2,20,41.9242917,-72.6454469
216,WINSTED,12,12,12,12,12,12,12,12,10,8,11,12,1,10,12,7,7,5,12,0,7,2,3,1,0,1,0,2,5,1,0,1,0,1,12,41.9212066,-73.0601078
217,WOLCOTT,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,41.6023196,-72.9867718
218,WOODBRIDGE,4,4,4,4,4,4,4,4,4,3,3,4,0,3,4,3,2,2,4,0,3,0,1,1,0,0,0,2,0,0,1,0,0,0,4,41.352597,-73.0084385
219,WOODBURY,3,3,3,3,3,3,3,3,3,1,3,3,0,3,3,1,1,0,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,3,41.5445404,-73.2090025
220,WOODSTOCK,4,4,4,4,4,4,4,4,4,4,2,4,0,4,3,4,2,1,4,0,0,1,2,2,0,2,0,2,0,1,0,0,0,0,4,41.9484307,-71.9739625
