,City,Unnamed: 0,ID,Date,DateType,Age,Sex,Race,ResidenceCity,ResidenceCounty,ResidenceState,DeathCounty,Location,LocationifOther,DescriptionofInjury,InjuryPlace,InjuryCity,InjuryCounty,InjuryState,COD,OtherSignifican,Heroin,Cocaine,Fentanyl,Oxycodone,Oxymorphone,Ethanol,Hydrocodone,Benzodiazepine,Methadone,Amphetamine,Tramadol,Morphine Not Heroin,Hydromorphone,Other,MannerofDeath,Latitude,Longitude
69,GRISWOLD,4,4,4,4,4,4,4,4,4,4,2,4,0,4,4,4,2,1,4,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,4,41.5961439,-71.9282781
70,GROTON,41,41,41,41,41,41,41,41,36,30,33,41,7,33,40,26,19,10,41,0,24,7,13,5,3,9,2,10,8,1,1,0,0,1,41,41.3497456,-72.0790717
71,GROTON LONG POINT,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,41.3145432,-72.00785170000002
72,GUILFORD,6,6,6,6,6,6,6,6,4,4,4,6,0,6,6,4,3,2,6,1,6,2,4,0,0,1,0,3,0,0,0,0,0,0,6,41.288906,-72.674364
73,HADDAM,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,41.4771433,-72.5122763
74,HAMDEN,46,46,46,46,46,46,46,46,38,33,39,46,5,37,46,29,22,14,46,2,23,9,16,9,2,7,1,16,8,1,0,2,1,4,46,41.3838782,-72.9026064
75,HAMPTON,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,41.7839873,-72.0547977
76,HANOVER,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.6427841,-72.0657042
77,HARTFORD,533,533,533,533,533,533,533,533,466,406,409,530,61,451,524,364,252,141,533,17,264,198,276,33,4,120,5,89,28,13,12,0,1,59,529,41.7658043,-72.6733723
78,HARWINTON,3,3,3,3,3,3,3,3,3,2,3,3,1,1,3,2,2,2,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3,41.7712762,-73.0598438
79,HEBRON,7,7,7,7,7,7,7,7,7,5,4,7,1,6,7,5,2,1,7,0,4,2,3,0,0,2,0,0,1,1,0,0,0,1,7,41.6578767,-72.36591609999999
80,HIGGANUM,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,41.4970432,-72.5570348
81,IVORYTON,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,41.3482438,-72.4404514
82,JEWETT CITY,14,14,14,14,14,14,14,14,14,13,11,14,1,13,14,12,9,5,14,1,9,3,7,1,0,6,1,4,0,1,1,0,0,3,14,41.606765,-71.980908
83,KENT,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41.7247554,-73.47696429999999
84,KILLINGLY,8,8,8,8,8,8,8,8,7,7,7,8,2,7,8,7,6,5,8,0,3,3,6,1,1,1,0,2,2,0,0,0,0,0,8,41.8122401,-71.8334145
85,KILLINGWORTH,2,2,2,2,2,2,2,2,2,1,2,2,0,1,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,41.3581869,-72.5645602
86,LEBANON,9,9,9,9,9,9,9,9,9,7,5,9,0,8,9,6,2,1,9,1,5,4,3,0,0,0,0,4,0,0,1,0,0,3,9,41.6362647,-72.2125549
87,LEDYARD,10,10,10,10,10,10,10,10,9,7,9,10,4,10,10,7,6,3,10,0,2,1,7,1,0,1,0,3,2,0,1,0,0,0,10,41.4456444,-72.0181743
88,LISBON,5,5,5,5,5,5,5,5,4,3,4,5,1,5,5,3,2,1,5,0,2,1,2,0,0,3,0,1,0,0,0,0,0,1,5,41.5998861,-72.01125979999999
89,LITCHFIELD,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,41.7472642,-73.1887165
90,MADISON,9,9,9,9,9,9,9,9,7,7,8,9,1,8,9,7,6,5,9,0,4,2,1,1,1,3,0,5,0,0,0,1,1,1,9,41.2959908,-72.5754149
91,MANCHESTER,99,99,99,99,99,99,99,99,93,73,78,99,15,84,98,66,46,23,99,1,49,32,55,7,1,20,2,18,9,0,3,0,0,5,99,41.7759301,-72.52150089999999
92,MANSFIELD,9,9,9,9,9,9,9,9,7,6,6,9,1,7,9,6,4,3,9,0,2,0,3,4,0,1,0,3,0,1,0,0,0,1,9,41.788489,-72.2292913
93,MARLBOROUGH,16,16,16,16,16,16,16,16,12,10,13,16,1,14,16,9,5,5,16,1,8,2,8,3,1,4,0,3,1,0,0,0,0,0,16,41.6314378,-72.459634
94,MASHANTUCKET,5,5,5,5,5,5,5,5,4,4,5,5,1,2,5,3,3,2,5,0,3,2,2,0,0,0,0,3,0,1,0,0,0,1,5,41.4615182,-71.97866259999999
95,MERIDEN,140,140,140,140,140,140,140,140,124,106,105,139,16,124,140,101,70,48,140,4,72,49,61,12,5,39,3,35,12,6,2,3,1,13,140,41.5381535,-72.80704349999999
96,MIDDLEBURY,8,8,8,8,8,8,8,8,8,7,7,8,1,6,8,7,6,3,8,0,5,5,3,1,0,0,0,2,0,0,0,0,0,1,8,41.5278742,-73.12761069999999
97,MIDDLEFIELD,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,41.5173203,-72.71204019999999
98,MIDDLETOWN,97,97,97,97,97,97,97,97,85,67,83,97,13,81,97,61,45,32,97,1,42,34,43,9,2,22,3,23,5,4,2,0,0,9,97,41.5623209,-72.6506488
99,MILFORD,66,66,66,66,66,66,66,66,59,44,49,66,8,57,66,39,24,16,66,2,33,17,20,11,2,24,1,22,9,2,1,2,2,5,66,41.2306979,-73.064036
100,MONROE,7,7,7,7,7,7,7,7,7,6,4,7,0,6,7,6,3,1,7,0,4,0,4,0,0,2,0,4,0,0,0,0,0,0,7,41.3325962,-73.2073358
101,MONTVILLE,5,5,5,5,5,5,5,5,3,2,2,5,0,4,5,2,1,0,5,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,5,41.4639922,-72.1556189
102,MOODUS,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,2,3,0,1,0,2,1,0,1,0,1,0,0,0,1,0,0,3,41.5028768,-72.4500867
103,MOOSUP,10,10,10,10,10,10,10,10,10,7,10,10,2,8,10,7,7,5,10,1,5,3,7,1,0,1,0,2,0,0,0,0,0,0,10,41.7128767,-71.8809054
104,MORRIS,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,41.6842633,-73.1962245
105,MYSTIC,4,4,4,4,4,4,4,4,3,3,3,4,1,4,4,3,3,2,4,1,1,2,2,0,0,1,0,1,0,1,0,0,0,0,4,41.3542656,-71.96646199999999
106,N HAVEN,3,3,3,3,3,3,3,3,3,1,2,3,0,3,3,1,0,0,3,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,3,41.39091390000001,-72.8595447
107,NAUGATUCK,41,41,41,41,41,41,41,41,37,34,34,41,4,34,41,31,24,16,41,2,18,12,18,8,1,10,0,14,6,1,4,2,1,3,41,41.485921,-73.0506972
108,NEW BRITAIN,219,219,219,219,219,219,219,219,199,170,178,218,12,185,218,154,110,59,219,4,91,55,104,33,4,53,4,55,14,7,5,2,1,23,219,41.6612104,-72.7795419
109,NEW CANAAN,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,2,2,4,0,3,0,2,0,0,2,1,1,0,0,1,0,0,0,4,41.146763,-73.4948445
110,NEW FAIRFIELD,4,4,4,4,4,4,4,4,2,1,4,4,0,4,4,1,1,1,4,0,2,0,1,1,0,2,0,3,0,0,0,0,1,0,4,41.4660993,-73.48564610000001
111,NEW HARTFORD,4,4,4,4,4,4,4,4,4,4,3,4,0,2,4,4,4,2,4,0,3,1,3,0,0,1,0,1,0,0,0,0,0,0,4,41.87932139999999,-72.97516929999999
112,NEW HAVEN,351,351,351,351,351,351,351,351,304,248,268,351,40,298,338,219,142,87,351,12,172,108,113,37,2,82,6,90,57,9,10,4,1,36,351,41.308274,-72.9278835
113,NEW LONDON,129,129,129,129,129,129,129,129,110,82,105,129,6,109,126,75,53,27,129,9,70,36,51,13,2,32,6,19,7,3,4,0,0,19,129,41.3556539,-72.0995209
114,NEW MILFORD,44,44,44,44,44,44,44,44,39,27,37,44,2,36,43,25,20,11,44,2,28,8,19,7,3,10,2,7,4,3,2,0,0,5,44,41.5770433,-73.4085463
115,NEW PRESTON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,41.6750953,-73.3517858
116,NEWINGTON,24,24,24,24,24,24,24,24,23,20,21,24,8,24,24,20,18,15,24,2,9,13,10,3,0,6,1,6,1,1,3,0,1,1,24,41.6972996,-72.7228293
117,NEWTOWN,9,9,9,9,9,9,9,9,8,6,8,9,1,6,9,5,4,3,9,0,5,1,5,1,0,3,2,5,0,0,0,0,0,2,9,41.4141172,-73.3035651
118,NIANTIC,7,7,7,7,7,7,7,7,6,5,6,7,2,6,6,5,3,0,7,1,5,2,3,1,0,4,0,2,0,0,0,0,0,0,7,41.3253756,-72.1931338
119,NO HAVEN,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,41.39091390000001,-72.8595447
120,NORFOLK,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,41.9939828,-73.2020577
121,NORTH BRANFORD,6,6,6,6,6,6,6,6,5,4,5,6,1,5,6,4,3,2,6,1,2,0,3,1,1,0,0,1,0,0,0,0,0,1,6,41.3275971,-72.7673198
122,NORTH CANAAN,10,10,10,10,10,10,10,10,8,7,8,10,0,7,10,7,5,4,10,0,5,1,3,1,1,3,0,3,1,0,0,2,0,0,10,42.0241794,-73.3240842
123,NORTH GRANBY,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,41.99639080000001,-72.829709
124,NORTH GROSVENORDALE,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,41.9856531,-71.8986833
125,NORTH HAVEN,16,16,16,16,16,16,16,16,14,11,13,16,1,14,16,9,7,6,16,0,9,5,7,6,1,2,0,5,3,0,0,0,0,1,16,41.39091390000001,-72.8595447
126,NORTH STONINGTON,2,2,2,2,2,2,2,2,2,1,1,2,0,2,2,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,41.4409323,-71.8811827
127,NORTH WINDAM,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,41.7483112,-72.1555308
128,NORTH WINDHAM,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,41.7483112,-72.1555308
129,NORTHFORD,2,2,2,2,2,2,2,2,2,1,1,2,0,2,2,1,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,41.3935796,-72.791658
130,NORWALK,67,67,67,67,67,67,67,67,55,50,52,67,6,54,65,48,35,24,67,1,36,21,27,5,1,18,1,27,8,4,1,0,0,5,67,41.11774399999999,-73.4081575
131,NORWICH,141,141,141,141,141,141,141,141,125,95,108,140,8,125,141,87,58,39,141,2,72,37,62,14,2,33,6,31,8,5,0,1,2,15,141,41.5242649,-72.07591049999999
132,OAKDALE,5,5,5,5,5,5,5,5,5,4,4,5,0,5,5,3,2,0,5,0,2,1,3,2,0,2,0,2,0,0,0,0,0,0,5,41.4832665,-72.15938419999999
133,OAKVILLE,2,2,2,2,2,2,2,2,1,1,1,2,0,1,2,1,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,41.5934302,-73.0853867
134,OLD LYME,3,3,3,3,3,3,3,3,3,2,3,3,0,3,3,2,2,0,3,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,41.3159315,-72.3289715
135,OLD SAYBROOK,10,10,10,10,10,10,10,10,9,9,7,10,1,7,10,6,3,1,10,0,4,3,4,3,0,4,0,5,2,0,0,0,0,1,10,41.2960159,-72.38453009999999
136,ONECO,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,41.6935853,-71.8130299
137,ORANGE,4,4,4,4,4,4,4,4,4,4,2,4,0,3,4,3,1,1,4,0,1,0,1,0,0,0,0,3,0,0,1,0,0,1,4,41.278637,-73.0265277
138,OXFORD,5,5,5,5,5,5,5,5,4,3,3,5,1,4,5,3,1,2,5,1,2,1,1,1,0,1,0,2,0,1,0,0,0,2,5,41.4338203,-73.1168393
139,PAWCATUCK,6,6,6,6,6,6,6,6,5,3,5,6,1,5,6,2,1,1,6,0,1,3,2,1,1,1,0,4,1,0,0,1,0,1,6,41.3773218,-71.8336802
140,PLAINFIELD,17,17,17,17,17,17,17,17,13,12,7,16,0,16,17,11,7,4,17,0,6,3,10,1,0,7,0,3,1,0,1,0,0,0,17,41.6764876,-71.91507299999999
141,PLAINVILLE,23,23,23,23,23,23,23,23,21,16,17,23,2,21,23,15,10,4,23,2,14,9,12,3,1,8,1,9,0,1,0,0,0,2,23,41.6757457,-72.86336349999999
142,PLANTSVILLE,3,3,3,3,3,3,3,3,3,3,3,3,0,2,3,3,3,3,3,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,3,41.5824016,-72.89036449999999
143,PLYMOUTH,3,3,3,3,3,3,3,3,1,1,3,3,1,3,3,1,1,0,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,41.6720418,-73.0528853
144,POMFRET,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.8975977,-71.9625736
145,PORTLAND,12,12,12,12,12,12,12,12,12,11,8,12,0,10,11,11,7,2,12,0,7,1,7,3,1,4,0,6,0,0,0,0,0,0,12,41.5726229,-72.6408139
146,PRESTON,3,3,3,3,3,3,3,3,2,1,3,3,0,3,3,1,1,1,3,1,1,0,1,1,0,3,0,1,0,0,0,0,0,1,3,41.5224785,-72.01125979999999
147,PROSPECT,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,41.5023192,-72.9787163
148,PUTNAM,27,27,27,27,27,27,27,27,20,15,25,27,1,19,26,13,12,9,27,1,19,3,10,3,1,5,0,9,0,2,0,0,0,5,27,41.90460119999999,-71.8689917
149,QUAKER HILL,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,0,2,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,2,41.4035625,-72.1122491
150,QUINEBAUG,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,42.0237077,-71.9497954
151,REDDING,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,0,1,1,3,0,0,1,0,2,0,0,0,0,0,1,3,41.30453989999999,-73.392898
152,RIDGEFIELD,6,6,6,6,6,6,6,6,5,3,4,6,1,6,6,3,2,1,6,1,2,1,3,2,1,1,0,2,1,0,0,1,0,0,6,41.28406349999999,-73.4975412
153,ROCKVILLE,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,0,0,0,2,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,2,41.8667645,-72.4495287
154,ROCKY HILL,10,10,10,10,10,10,10,10,8,5,8,10,1,8,10,5,4,3,10,1,4,1,1,2,1,1,1,5,1,1,0,0,0,3,10,41.6572525,-72.66557569999999
155,ROGERS,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.8406887,-71.9063164
156,S GLASTONBURY,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41.6861794,-72.5450779
