,dayOfWeek
478,Friday
479,Tuesday
480,Friday
481,Monday
482,Saturday
483,Monday
484,Wed
485,Wed
486,Monday
487,Friday
488,Thurs
489,Tuesday
490,Tuesday
491,Thurs
492,Tuesday
493,Wed
494,Saturday
495,Monday
496,Monday
497,Friday
498,Sunday
499,Friday
500,Monday
501,Tuesday
502,Saturday
503,Monday
504,Wed
505,Wed
506,Monday
507,Tuesday
508,Wed
509,Sunday
510,Wed
511,Friday
512,Thurs
513,Monday
514,Sunday
515,Sunday
516,Monday
517,Monday
518,Wed
519,Tuesday
520,Thurs
521,Monday
522,Saturday
523,Monday
524,Saturday
525,Sunday
526,Sunday
527,Monday
528,Sunday
529,Wed
530,Wed
531,Tuesday
532,Wed
533,Sunday
534,Friday
535,Tuesday
536,Sunday
537,Saturday
538,Thurs
539,Friday
540,Saturday
541,Saturday
542,Monday
543,Thurs
544,Tuesday
545,Monday
546,Sunday
547,Sunday
548,Monday
549,Tuesday
550,Saturday
551,Wed
552,Tuesday
553,Saturday
554,Tuesday
555,Sunday
556,Tuesday
557,Monday
558,Monday
559,Monday
560,Saturday
561,Tuesday
562,Sunday
563,Wed
564,Monday
565,Thurs
566,Wed
567,Thurs
568,Wed
569,Sunday
570,Saturday
571,Friday
572,Sunday
573,Friday
574,Saturday
575,Thurs
576,Monday
577,Monday
578,Friday
579,Friday
580,Friday
581,Thurs
582,Saturday
583,Tuesday
584,Sunday
585,Tuesday
586,Friday
587,Tuesday
588,Monday
589,Monday
590,Sunday
591,Monday
592,Saturday
593,Friday
594,Monday
595,Saturday
596,Sunday
597,Sunday
598,Saturday
599,Sunday
600,Tuesday
601,Sunday
602,Tuesday
603,Friday
604,Tuesday
605,Sunday
606,Thurs
607,Thurs
608,Saturday
609,Friday
610,Wed
611,Friday
612,Tuesday
613,Friday
614,Saturday
615,Monday
616,Wed
617,Sunday
618,Thurs
619,Tuesday
620,Wed
621,Tuesday
622,Thurs
623,Thurs
624,Thurs
625,Tuesday
626,Thurs
627,Wed
628,Saturday
629,Wed
630,Saturday
631,Wed
632,Saturday
633,Wed
634,Saturday
635,Tuesday
636,Wed
637,Saturday
638,Friday
639,Monday
640,Tuesday
641,Saturday
642,Friday
643,Thurs
644,Thurs
645,Saturday
646,Monday
647,Sunday
648,Sunday
649,Sunday
650,Tuesday
651,Sunday
652,Friday
653,Monday
654,Monday
655,Wed
656,Sunday
657,Sunday
658,Wed
659,Saturday
660,Saturday
661,Thurs
662,Tuesday
663,Friday
664,Saturday
665,Tuesday
666,Tuesday
667,Thurs
668,Saturday
669,Tuesday
670,Saturday
671,Saturday
672,Thurs
673,Tuesday
674,Sunday
675,Thurs
676,Monday
677,Saturday
678,Thurs
679,Wed
680,Sunday
681,Friday
682,Thurs
683,Friday
684,Wed
685,Saturday
686,Sunday
687,Saturday
688,Monday
689,Tuesday
690,Monday
691,Friday
692,Saturday
693,Sunday
694,Sunday
695,Tuesday
696,Sunday
697,Sunday
698,Monday
699,Monday
700,Tuesday
701,Wed
702,Friday
703,Tuesday
704,Saturday
705,Friday
706,Sunday
707,Wed
708,Monday
709,Wed
710,Sunday
711,Saturday
712,Thurs
713,Thurs
714,Wed
715,Saturday
716,Friday
717,Thurs
718,Saturday
719,Thurs
720,Thurs
721,Friday
722,Thurs
723,Saturday
724,Monday
725,Wed
726,Tuesday
727,Monday
728,Wed
729,Saturday
730,Sunday
731,Friday
732,Wed
733,Saturday
734,Saturday
735,Wed
736,Friday
737,Saturday
738,Monday
739,Monday
740,Thurs
741,Wed
742,Thurs
743,Thurs
744,Thurs
745,Sunday
746,Monday
747,Wed
748,Saturday
749,Friday
750,Thurs
751,Thurs
752,Thurs
753,Monday
754,Saturday
755,Monday
756,Wed
757,Saturday
758,Tuesday
759,Friday
760,Thurs
761,Tuesday
762,Tuesday
763,Saturday
764,Sunday
765,Saturday
766,Friday
767,Wed
768,Thurs
769,Monday
770,Saturday
771,Monday
772,Wed
773,Wed
774,Wed
775,Thurs
776,Saturday
777,Saturday
778,Thurs
779,Tuesday
780,Saturday
781,Wed
782,Sunday
783,Thurs
784,Monday
785,Thurs
786,Saturday
787,Saturday
788,Saturday
789,Tuesday
790,Wed
791,Wed
792,Wed
793,Saturday
794,Tuesday
795,Thurs
796,Friday
797,Sunday
798,Monday
799,Saturday
800,Thurs
801,Friday
802,Friday
803,Monday
804,Thurs
805,Thurs
806,Friday
807,Wed
808,Wed
809,Saturday
810,Friday
811,Saturday
812,Monday
813,Wed
814,Saturday
815,Saturday
816,Monday
817,Sunday
818,Saturday
819,Monday
820,Sunday
821,Monday
822,Wed
823,Friday
824,Monday
825,Sunday
826,Wed
827,Saturday
828,Friday
829,Monday
830,Friday
831,Monday
832,Wed
833,Saturday
834,Wed
835,Wed
836,Monday
837,Friday
838,Saturday
839,Sunday
840,Thurs
841,Friday
842,Tuesday
843,Friday
844,Tuesday
845,Sunday
846,Sunday
847,Sunday
848,Sunday
849,Monday
850,Saturday
851,Wed
852,Monday
853,Wed
854,Sunday
855,Monday
856,Saturday
857,Sunday
858,Saturday
859,Wed
860,Tuesday
861,Tuesday
862,Sunday
863,Saturday
864,Saturday
865,Monday
866,Sunday
867,Wed
868,Tuesday
869,Saturday
870,Thurs
871,Sunday
872,Sunday
873,Thurs
874,Monday
875,Sunday
876,Sunday
877,Saturday
878,Tuesday
879,Saturday
880,Thurs
881,Sunday
882,Sunday
883,Sunday
884,Monday
885,Sunday
886,Friday
887,Friday
888,Friday
889,Sunday
890,Sunday
891,Monday
892,Friday
893,Thurs
894,Sunday
895,Sunday
896,Friday
897,Sunday
898,Friday
899,Monday
900,Saturday
901,Friday
902,Tuesday
903,Saturday
904,Friday
905,Tuesday
906,Tuesday
907,Monday
908,Tuesday
909,Monday
910,Wed
911,Friday
912,Thurs
913,Thurs
914,Tuesday
915,Friday
916,Wed
917,Tuesday
918,Saturday
919,Thurs
920,Thurs
921,Friday
922,Tuesday
923,Sunday
924,Sunday
925,Monday
926,Thurs
927,Friday
928,Sunday
929,Wed
930,Monday
931,Monday
932,Friday
933,Sunday
934,Monday
935,Tuesday
936,Tuesday
937,Thurs
938,Sunday
939,Friday
940,Thurs
941,Saturday
942,Monday
943,Friday
944,Thurs
945,Saturday
946,Tuesday
947,Thurs
948,Saturday
949,Saturday
950,Sunday
951,Monday
952,Saturday
953,Friday
954,Wed
955,Monday
956,Monday
957,Tuesday
958,Wed
959,Saturday
960,Saturday
961,Sunday
962,Saturday
963,Sunday
964,Sunday
965,Wed
966,Friday
967,Tuesday
968,Tuesday
969,Tuesday
970,Wed
971,Thurs
972,Tuesday
973,Friday
974,Wed
975,Sunday
976,Friday
977,Monday
978,Tuesday
979,Sunday
980,Saturday
981,Friday
982,Thurs
983,Tuesday
984,Monday
985,Friday
986,Thurs
987,Saturday
988,Thurs
989,Thurs
990,Wed
991,Sunday
992,Friday
993,Wed
994,Thurs
995,Monday
996,Sunday
997,Friday
998,Saturday
999,Monday
1000,Friday
1001,Friday
1002,Tuesday
1003,Wed
1004,Saturday
1005,Saturday
1006,Sunday
1007,Friday
1008,Wed
1009,Wed
1010,Saturday
1011,Saturday
1012,Thurs
1013,Sunday
1014,Friday
1015,Thurs
1016,Monday
1017,Wed
1018,Friday
1019,Friday
1020,Saturday
1021,Saturday
1022,Sunday
1023,Monday
1024,Tuesday
1025,Thurs
1026,Monday
1027,Friday
1028,Saturday
1029,Friday
1030,Friday
1031,Tuesday
1032,Saturday
1033,Friday
1034,Wed
1035,Saturday
1036,Friday
1037,Sunday
1038,Sunday
1039,Friday
1040,Wed
1041,Tuesday
1042,Saturday
1043,Monday
1044,Saturday
1045,Friday
1046,Friday
1047,Wed
1048,Wed
1049,Wed
1050,Wed
1051,Thurs
1052,Tuesday
1053,Friday
1054,Monday
1055,Saturday
