,dayOfWeek
1945,Sunday
1946,Monday
1947,Wed
1948,Sunday
1949,Tuesday
1950,Saturday
1951,Tuesday
1952,Sunday
1953,Friday
1954,Tuesday
1955,Sunday
1956,Saturday
1957,Tuesday
1958,Saturday
1959,Tuesday
1960,Friday
1961,Thurs
1962,Wed
1963,Friday
1964,Saturday
1965,Sunday
1966,Friday
1967,Sunday
1968,Sunday
1969,Friday
1970,Sunday
1971,Thurs
1972,Wed
1973,Wed
1974,Thurs
1975,Tuesday
1976,Saturday
1977,Saturday
1978,Tuesday
1979,Sunday
1980,Saturday
1981,Wed
1982,Saturday
1983,Tuesday
1984,Monday
1985,Thurs
1986,Wed
1987,Tuesday
1988,Wed
1989,Thurs
1990,Wed
1991,Monday
1992,Sunday
1993,Sunday
1994,Friday
1995,Wed
1996,Thurs
1997,Friday
1998,Sunday
1999,Wed
2000,Friday
2001,Friday
2002,Tuesday
2003,Wed
2004,Tuesday
2005,Wed
2006,Thurs
2007,Wed
2008,Monday
2009,Tuesday
2010,Monday
2011,Monday
2012,Sunday
2013,Monday
2014,Sunday
2015,Wed
2016,Thurs
2017,Friday
2018,Sunday
2019,Saturday
2020,Wed
2021,Wed
2022,Monday
2023,Monday
2024,Monday
2025,Wed
2026,Thurs
2027,Monday
2028,Tuesday
2029,Friday
2030,Thurs
2031,Monday
2032,Thurs
2033,Tuesday
2034,Friday
2035,Saturday
2036,Sunday
2037,Saturday
2038,Wed
2039,Thurs
2040,Wed
2041,Wed
2042,Friday
2043,Tuesday
2044,Monday
2045,Wed
2046,Friday
2047,Saturday
2048,Sunday
2049,Wed
2050,Wed
2051,Sunday
2052,Saturday
2053,Friday
2054,Thurs
2055,Wed
2056,Tuesday
2057,Saturday
2058,Sunday
2059,Tuesday
2060,Sunday
2061,Thurs
2062,Monday
2063,Friday
2064,Saturday
2065,Sunday
2066,Monday
2067,Tuesday
2068,Monday
2069,Friday
2070,Tuesday
2071,Thurs
2072,Thurs
2073,Wed
2074,Friday
2075,Sunday
2076,Tuesday
2077,Tuesday
2078,Sunday
2079,Sunday
2080,Monday
2081,Thurs
2082,Wed
2083,Friday
2084,Tuesday
2085,Thurs
2086,Wed
2087,Saturday
2088,Sunday
2089,Saturday
2090,Friday
2091,Tuesday
2092,Wed
2093,Tuesday
2094,Monday
2095,Tuesday
2096,Sunday
2097,Saturday
2098,Sunday
2099,Friday
2100,Friday
2101,Tuesday
2102,Friday
2103,Sunday
2104,Tuesday
2105,Saturday
2106,Saturday
2107,Wed
2108,Thurs
2109,Saturday
2110,Thurs
2111,Sunday
2112,Saturday
2113,Monday
2114,Sunday
2115,Monday
2116,Saturday
2117,Thurs
2118,Monday
2119,Tuesday
2120,Friday
2121,Thurs
2122,Sunday
2123,Friday
2124,Monday
2125,Saturday
2126,Monday
2127,Monday
2128,Tuesday
2129,Friday
2130,Monday
2131,Wed
2132,Saturday
2133,Saturday
2134,Friday
2135,Friday
2136,Thurs
2137,Wed
2138,Tuesday
2139,Friday
2140,Wed
2141,Saturday
2142,Saturday
2143,Monday
2144,Thurs
2145,Sunday
2146,Saturday
2147,Thurs
2148,Saturday
2149,Friday
2150,Friday
2151,Friday
2152,Thurs
2153,Wed
2154,Wed
2155,Tuesday
2156,Monday
2157,Sunday
2158,Friday
2159,Tuesday
2160,Friday
2161,Thurs
2162,Friday
2163,Wed
2164,Thurs
2165,Friday
2166,Sunday
2167,Friday
2168,Monday
2169,Friday
2170,Thurs
2171,Thurs
2172,Wed
2173,Monday
2174,Thurs
2175,Friday
2176,Friday
2177,Friday
2178,Sunday
2179,Thurs
2180,Sunday
2181,Monday
2182,Tuesday
2183,Saturday
2184,Thurs
2185,Tuesday
2186,Wed
2187,Saturday
2188,Sunday
2189,Monday
2190,Friday
2191,Tuesday
2192,Sunday
2193,Tuesday
2194,Saturday
2195,Friday
2196,Saturday
2197,Tuesday
2198,Friday
2199,Monday
2200,Wed
2201,Monday
2202,Wed
2203,Tuesday
2204,Friday
2205,Thurs
2206,Monday
2207,Wed
2208,Saturday
2209,Monday
2210,Tuesday
2211,Friday
2212,Saturday
2213,Friday
2214,Monday
2215,Tuesday
2216,Friday
2217,Thurs
2218,Thurs
2219,Thurs
2220,Sunday
2221,Saturday
2222,Friday
2223,Friday
2224,Tuesday
2225,Friday
2226,Saturday
2227,Saturday
2228,Saturday
2229,Saturday
2230,Thurs
2231,Thurs
2232,Friday
2233,Tuesday
2234,Monday
2235,Friday
2236,Tuesday
2237,Tuesday
2238,Thurs
2239,Wed
2240,Thurs
2241,Thurs
2242,Friday
2243,Monday
2244,Saturday
2245,Tuesday
2246,Sunday
2247,Thurs
2248,Monday
2249,Wed
2250,Friday
2251,Thurs
2252,Friday
2253,Saturday
2254,Monday
2255,Monday
2256,Thurs
2257,Saturday
2258,Saturday
2259,Tuesday
2260,Friday
2261,Sunday
2262,Sunday
2263,Tuesday
2264,Sunday
2265,Friday
2266,Saturday
2267,Wed
2268,Wed
2269,Wed
2270,Tuesday
2271,Wed
2272,Sunday
2273,Tuesday
2274,Wed
2275,Sunday
2276,Monday
2277,Tuesday
2278,Thurs
2279,Monday
2280,Tuesday
2281,Saturday
2282,Thurs
2283,Thurs
2284,Sunday
2285,Saturday
2286,Thurs
2287,Friday
2288,Friday
2289,Tuesday
2290,Sunday
2291,Friday
2292,Friday
2293,Wed
2294,Friday
2295,Sunday
2296,Friday
2297,Sunday
2298,Wed
2299,Saturday
2300,Monday
2301,Tuesday
2302,Sunday
2303,Wed
2304,Monday
2305,Friday
2306,Tuesday
2307,Friday
2308,Tuesday
2309,Sunday
2310,Tuesday
2311,Thurs
2312,Tuesday
2313,Thurs
2314,Saturday
2315,Wed
2316,Saturday
2317,Monday
2318,Sunday
2319,Saturday
2320,Friday
2321,Saturday
2322,Thurs
2323,Sunday
2324,Saturday
2325,Monday
2326,Friday
2327,Tuesday
2328,Sunday
2329,Wed
2330,Saturday
2331,Saturday
2332,Friday
2333,Sunday
2334,Saturday
2335,Tuesday
2336,Friday
2337,Friday
2338,Monday
2339,Friday
2340,Friday
2341,Friday
2342,Friday
2343,Tuesday
2344,Wed
2345,Thurs
2346,Monday
2347,Friday
2348,Tuesday
2349,Thurs
2350,Saturday
2351,Thurs
2352,Thurs
2353,Friday
2354,Wed
2355,Tuesday
2356,Tuesday
2357,Saturday
2358,Saturday
2359,Thurs
2360,Monday
2361,Tuesday
2362,Thurs
2363,Friday
2364,Sunday
2365,Wed
2366,Tuesday
2367,Monday
2368,Sunday
2369,Monday
2370,Monday
2371,Thurs
2372,Thurs
2373,Friday
2374,Friday
2375,Saturday
2376,Monday
2377,Friday
2378,Monday
2379,Friday
2380,Saturday
2381,Friday
2382,Sunday
2383,Monday
2384,Saturday
2385,Saturday
2386,Monday
2387,Thurs
2388,Friday
2389,Tuesday
2390,Friday
2391,Monday
2392,Sunday
2393,Friday
2394,Monday
2395,Thurs
2396,Thurs
2397,Thurs
2398,Thurs
2399,Thurs
2400,Saturday
2401,Saturday
2402,Friday
2403,Saturday
2404,Monday
2405,Tuesday
2406,Saturday
2407,Friday
2408,Thurs
2409,Saturday
2410,Wed
2411,Sunday
2412,Wed
2413,Saturday
2414,Wed
2415,Wed
2416,Wed
2417,Friday
2418,Friday
2419,Sunday
2420,Tuesday
2421,Wed
2422,Saturday
2423,Tuesday
2424,Saturday
2425,Thurs
2426,Tuesday
2427,Sunday
2428,Wed
2429,Saturday
2430,Monday
2431,Thurs
2432,Sunday
2433,Friday
2434,Monday
2435,Saturday
2436,Tuesday
2437,Saturday
2438,Thurs
2439,Sunday
2440,Thurs
2441,Thurs
2442,Saturday
2443,Tuesday
2444,Friday
2445,Wed
2446,Wed
2447,Thurs
2448,Friday
2449,Sunday
2450,Friday
2451,Friday
2452,Friday
2453,Tuesday
2454,Wed
2455,Monday
2456,Friday
2457,Sunday
2458,Tuesday
2459,Thurs
2460,Thurs
2461,Saturday
2462,Wed
2463,Thurs
2464,Thurs
2465,Wed
2466,Wed
2467,Thurs
2468,Tuesday
2469,Friday
2470,Tuesday
2471,Saturday
2472,Friday
2473,Thurs
2474,Wed
2475,Monday
2476,Friday
2477,Wed
2478,Friday
2479,Sunday
2480,Monday
2481,Sunday
2482,Sunday
2483,Friday
2484,Tuesday
2485,Wed
2486,Thurs
2487,Thurs
2488,Saturday
2489,Saturday
2490,Saturday
2491,Saturday
2492,Tuesday
2493,Tuesday
2494,Thurs
2495,Tuesday
2496,Tuesday
2497,Thurs
2498,Saturday
2499,Tuesday
2500,Monday
2501,Sunday
2502,Thurs
2503,Tuesday
2504,Tuesday
2505,Thurs
2506,Sunday
2507,Wed
2508,Friday
2509,Saturday
2510,Tuesday
2511,Friday
2512,Friday
2513,Wed
2514,Friday
2515,Sunday
2516,Saturday
2517,Wed
2518,Saturday
2519,Sunday
2520,Thurs
2521,Wed
2522,Sunday
2523,Saturday
2524,Monday
2525,Tuesday
2526,Monday
2527,Sunday
2528,Tuesday
2529,Tuesday
2530,Thurs
2531,Sunday
2532,Sunday
2533,Tuesday
2534,Tuesday
2535,Tuesday
2536,Friday
2537,Saturday
2538,Saturday
2539,Thurs
2540,Saturday
2541,Thurs
2542,Tuesday
2543,Wed
2544,Friday
2545,Friday
2546,Friday
2547,Friday
2548,Monday
2549,Friday
2550,Monday
2551,Friday
2552,Monday
2553,Saturday
2554,Sunday
2555,Wed
2556,Friday
2557,Sunday
2558,Monday
2559,Wed
2560,Wed
2561,Monday
2562,Saturday
2563,Saturday
2564,Tuesday
2565,Friday
2566,Saturday
2567,Saturday
2568,Sunday
2569,Sunday
2570,Saturday
2571,Sunday
2572,Wed
2573,Saturday
2574,Thurs
2575,Sunday
2576,Sunday
2577,Friday
2578,Tuesday
2579,Tuesday
2580,Sunday
2581,Sunday
2582,Saturday
2583,Wed
2584,Monday
2585,Saturday
2586,Wed
2587,Wed
2588,Sunday
2589,Friday
2590,Tuesday
2591,Monday
2592,Thurs
2593,Sunday
2594,Wed
2595,Monday
2596,Monday
2597,Thurs
2598,Saturday
2599,Friday
2600,Sunday
2601,Friday
2602,Monday
2603,Sunday
2604,Monday
2605,Sunday
2606,Thurs
2607,Wed
2608,Saturday
2609,Thurs
2610,Monday
2611,Wed
2612,Friday
2613,Wed
2614,Wed
2615,Wed
2616,Friday
2617,Thurs
2618,Sunday
2619,Monday
2620,Tuesday
2621,Thurs
2622,Tuesday
2623,Saturday
2624,Thurs
2625,Thurs
2626,Sunday
2627,Tuesday
2628,Thurs
2629,Saturday
2630,Wed
2631,Wed
2632,Thurs
2633,Sunday
2634,Friday
2635,Thurs
2636,Thurs
2637,Sunday
2638,Saturday
2639,Saturday
2640,Saturday
2641,Sunday
2642,Thurs
2643,Tuesday
2644,Saturday
2645,Thurs
2646,Friday
2647,Thurs
2648,Saturday
2649,Tuesday
2650,Monday
2651,Tuesday
2652,Sunday
2653,Tuesday
2654,Saturday
2655,Monday
2656,Friday
2657,Saturday
2658,Saturday
2659,Friday
2660,Friday
2661,Friday
2662,Thurs
2663,Tuesday
2664,Friday
2665,Wed
2666,Tuesday
2667,Saturday
2668,Saturday
2669,Thurs
2670,Thurs
2671,Wed
2672,Monday
2673,Tuesday
2674,Thurs
2675,Sunday
2676,Tuesday
2677,Saturday
2678,Tuesday
2679,Wed
2680,Saturday
2681,Thurs
2682,Friday
2683,Thurs
2684,Thurs
2685,Wed
2686,Friday
2687,Saturday
2688,Saturday
2689,Tuesday
2690,Wed
2691,Thurs
2692,Monday
2693,Tuesday
2694,Sunday
2695,Thurs
2696,Sunday
2697,Sunday
2698,Saturday
2699,Friday
2700,Wed
2701,Friday
2702,Saturday
2703,Thurs
2704,Tuesday
2705,Monday
2706,Tuesday
2707,Friday
2708,Tuesday
2709,Tuesday
2710,Tuesday
2711,Friday
2712,Wed
2713,Monday
2714,Sunday
2715,Tuesday
2716,Sunday
2717,Thurs
2718,Monday
2719,Thurs
2720,Friday
2721,Saturday
2722,Friday
2723,Saturday
2724,Saturday
2725,Sunday
2726,Friday
2727,Monday
2728,Friday
2729,Wed
2730,Tuesday
2731,Monday
2732,Friday
2733,Friday
2734,Thurs
2735,Tuesday
2736,Monday
2737,Saturday
2738,Friday
2739,Thurs
2740,Friday
2741,Tuesday
2742,Saturday
2743,Tuesday
2744,Sunday
2745,Saturday
2746,Sunday
2747,Sunday
2748,Saturday
2749,Wed
2750,Saturday
2751,Friday
2752,Sunday
2753,Saturday
2754,Thurs
2755,Monday
2756,Monday
2757,Tuesday
2758,Thurs
2759,Sunday
2760,Saturday
2761,Sunday
2762,Tuesday
2763,Tuesday
2764,Tuesday
2765,Wed
2766,Sunday
2767,Tuesday
2768,Monday
2769,Tuesday
2770,Monday
2771,Saturday
2772,Friday
2773,Friday
2774,Sunday
2775,Monday
2776,Sunday
2777,Sunday
2778,Friday
2779,Tuesday
2780,Sunday
2781,Wed
2782,Tuesday
2783,Sunday
2784,Saturday
2785,Monday
2786,Sunday
2787,Wed
2788,Tuesday
2789,Monday
2790,Wed
2791,Wed
2792,Saturday
2793,Thurs
2794,Tuesday
2795,Wed
2796,Friday
2797,Monday
2798,Tuesday
2799,Sunday
2800,Friday
2801,Saturday
2802,Wed
2803,Friday
2804,Friday
2805,Friday
2806,Wed
2807,Monday
2808,Tuesday
2809,Wed
2810,Sunday
2811,Monday
2812,Saturday
2813,Thurs
2814,Wed
2815,Saturday
2816,Monday
2817,Saturday
2818,Tuesday
2819,Tuesday
2820,Saturday
2821,Saturday
2822,Saturday
2823,Friday
2824,Thurs
2825,Monday
2826,Monday
2827,Wed
2828,Monday
2829,Monday
2830,Sunday
2831,Tuesday
2832,Monday
2833,Friday
2834,Saturday
2835,Sunday
2836,Saturday
2837,Friday
2838,Monday
2839,Thurs
2840,Sunday
2841,Saturday
2842,Thurs
2843,Thurs
2844,Thurs
2845,Sunday
2846,Saturday
2847,Friday
2848,Tuesday
2849,Thurs
2850,Tuesday
2851,Wed
2852,Saturday
2853,Wed
2854,Tuesday
2855,Wed
2856,Wed
2857,Sunday
2858,Wed
2859,Wed
2860,Thurs
2861,Thurs
2862,Friday
2863,Monday
2864,Thurs
2865,Wed
2866,Friday
2867,Friday
2868,Friday
2869,Sunday
2870,Tuesday
2871,Thurs
2872,Wed
2873,Sunday
2874,Saturday
2875,Thurs
2876,Wed
2877,Friday
2878,Sunday
2879,Tuesday
2880,Sunday
2881,Monday
2882,Saturday
2883,Monday
2884,Saturday
2885,Saturday
2886,Monday
2887,Saturday
2888,Friday
2889,Friday
2890,Tuesday
2891,Monday
2892,Wed
2893,Wed
2894,Monday
2895,Tuesday
2896,Friday
2897,Wed
2898,Friday
2899,Saturday
2900,Saturday
2901,Tuesday
2902,Friday
2903,Monday
2904,Thurs
2905,Monday
2906,Sunday
2907,Sunday
2908,Thurs
2909,Tuesday
2910,Saturday
2911,Monday
2912,Monday
2913,Monday
2914,Sunday
2915,Wed
2916,Sunday
2917,Monday
2918,Friday
2919,Sunday
2920,Tuesday
2921,Wed
2922,Monday
2923,Thurs
2924,Monday
2925,Thurs
2926,Saturday
2927,Wed
2928,Friday
2929,Sunday
2930,Friday
2931,Tuesday
2932,Sunday
2933,Monday
2934,Sunday
2935,Monday
2936,Tuesday
2937,Thurs
2938,Tuesday
2939,Monday
2940,Tuesday
2941,Saturday
2942,Tuesday
2943,Sunday
2944,Thurs
2945,Friday
2946,Sunday
2947,Friday
2948,Saturday
2949,Thurs
2950,Wed
2951,Sunday
2952,Wed
2953,Sunday
2954,Thurs
2955,Tuesday
2956,Wed
2957,Monday
2958,Sunday
2959,Tuesday
2960,Tuesday
2961,Wed
2962,Sunday
2963,Friday
2964,Monday
2965,Wed
2966,Friday
2967,Wed
2968,Friday
2969,Tuesday
2970,Friday
2971,Thurs
2972,Wed
2973,Saturday
2974,Friday
2975,Wed
2976,Saturday
2977,Saturday
2978,Wed
2979,Wed
2980,Monday
2981,Friday
2982,Sunday
2983,Sunday
2984,Monday
2985,Friday
2986,Friday
2987,Wed
2988,Friday
2989,Tuesday
2990,Tuesday
2991,Saturday
2992,Friday
2993,Saturday
2994,Tuesday
2995,Friday
2996,Friday
2997,Tuesday
2998,Sunday
2999,Tuesday
3000,Thurs
3001,Thurs
3002,Sunday
3003,Sunday
3004,Saturday
3005,Saturday
3006,Wed
3007,Wed
3008,Monday
3009,Thurs
3010,Friday
3011,Friday
3012,Wed
3013,Tuesday
3014,Friday
3015,Monday
3016,Thurs
3017,Saturday
3018,Tuesday
3019,Saturday
3020,Sunday
3021,Thurs
3022,Monday
3023,Thurs
3024,Thurs
3025,Monday
3026,Sunday
3027,Thurs
3028,Wed
3029,Tuesday
3030,Sunday
3031,Thurs
3032,Sunday
3033,Sunday
3034,Wed
3035,Thurs
3036,Sunday
3037,Friday
3038,Wed
3039,Friday
3040,Sunday
3041,Monday
3042,Saturday
3043,Tuesday
3044,Saturday
3045,Sunday
3046,Friday
3047,Friday
3048,Thurs
3049,Saturday
3050,Saturday
3051,Thurs
3052,Friday
3053,Tuesday
3054,Sunday
3055,Thurs
3056,Sunday
3057,Monday
3058,Wed
3059,Sunday
3060,Saturday
3061,Wed
3062,Tuesday
3063,Thurs
3064,Thurs
3065,Saturday
3066,Tuesday
3067,Saturday
3068,Friday
3069,Tuesday
3070,Monday
3071,Wed
3072,Monday
3073,Friday
3074,Wed
3075,Friday
3076,Wed
3077,Saturday
3078,Wed
3079,Tuesday
3080,Wed
3081,Monday
3082,Sunday
3083,Friday
3084,Friday
3085,Saturday
3086,Wed
3087,Monday
3088,Monday
3089,Tuesday
3090,Sunday
3091,Monday
3092,Tuesday
3093,Friday
3094,Saturday
3095,Wed
3096,Sunday
3097,Friday
3098,Wed
3099,Monday
3100,Sunday
3101,Sunday
3102,Friday
3103,Sunday
3104,Friday
3105,Wed
3106,Thurs
3107,Wed
3108,Friday
3109,Tuesday
3110,Wed
3111,Saturday
3112,Thurs
3113,Monday
3114,Tuesday
3115,Friday
3116,Saturday
3117,Monday
3118,Tuesday
3119,Wed
3120,Saturday
3121,Friday
3122,Thurs
3123,Saturday
3124,Thurs
3125,Wed
3126,Thurs
3127,Wed
3128,Saturday
3129,Monday
3130,Wed
3131,Tuesday
3132,Thurs
3133,Friday
3134,Monday
3135,Saturday
3136,Sunday
3137,Sunday
3138,Sunday
3139,Thurs
3140,Monday
3141,Wed
3142,Saturday
3143,Monday
3144,Sunday
3145,Tuesday
3146,Sunday
3147,Friday
3148,Sunday
3149,Tuesday
3150,Monday
3151,Thurs
3152,Sunday
3153,Thurs
3154,Tuesday
3155,Sunday
3156,Tuesday
3157,Sunday
3158,Wed
3159,Thurs
3160,Sunday
3161,Monday
3162,Monday
3163,Friday
3164,Saturday
3165,Sunday
3166,Monday
3167,Tuesday
3168,Tuesday
3169,Friday
3170,Thurs
3171,Saturday
3172,Sunday
3173,Friday
3174,Monday
3175,Monday
3176,Monday
3177,Wed
3178,Monday
3179,Saturday
3180,Wed
3181,Sunday
3182,Wed
3183,Wed
3184,Tuesday
3185,Monday
3186,Monday
3187,Sunday
3188,Monday
3189,Saturday
3190,Thurs
3191,Sunday
3192,Monday
3193,Saturday
3194,Saturday
3195,Saturday
3196,Monday
3197,Thurs
3198,Monday
3199,Sunday
3200,Monday
3201,Monday
3202,Sunday
3203,Wed
3204,Wed
3205,Saturday
3206,Sunday
3207,Friday
3208,Friday
3209,Tuesday
3210,Monday
3211,Friday
3212,Friday
3213,Monday
3214,Sunday
3215,Monday
3216,Saturday
3217,Wed
3218,Saturday
3219,Sunday
3220,Thurs
3221,Monday
3222,Tuesday
3223,Sunday
3224,Thurs
3225,Thurs
3226,Wed
3227,Monday
3228,Thurs
3229,Friday
3230,Saturday
3231,Tuesday
3232,Friday
3233,Tuesday
3234,Monday
3235,Tuesday
3236,Saturday
3237,Thurs
3238,Thurs
3239,Tuesday
3240,Friday
3241,Saturday
3242,Saturday
3243,Saturday
3244,Monday
3245,Wed
3246,Saturday
3247,Saturday
3248,Monday
3249,Friday
3250,Wed
3251,Tuesday
3252,Saturday
3253,Tuesday
3254,Saturday
3255,Sunday
3256,Wed
3257,Saturday
3258,Monday
3259,Friday
3260,Tuesday
3261,Saturday
3262,Tuesday
3263,Tuesday
3264,Sunday
3265,Friday
3266,Tuesday
3267,Sunday
3268,Tuesday
3269,Friday
3270,Wed
3271,Sunday
3272,Thurs
3273,Sunday
3274,Saturday
3275,Monday
3276,Friday
3277,Wed
3278,Saturday
3279,Monday
3280,Saturday
3281,Sunday
3282,Wed
3283,Thurs
3284,Friday
3285,Thurs
3286,Friday
3287,Monday
3288,Tuesday
3289,Sunday
3290,Saturday
3291,Friday
3292,Monday
3293,Sunday
3294,Friday
3295,Sunday
3296,Saturday
3297,Saturday
3298,Sunday
3299,Friday
3300,Wed
3301,Tuesday
3302,Wed
3303,Thurs
3304,Monday
3305,Monday
3306,Saturday
3307,Tuesday
3308,Friday
3309,Thurs
3310,Tuesday
3311,Monday
3312,Thurs
3313,Saturday
3314,Sunday
3315,Saturday
3316,Saturday
3317,Wed
3318,Wed
3319,Friday
3320,Wed
3321,Friday
3322,Friday
3323,Friday
3324,Sunday
3325,Friday
3326,Tuesday
3327,Friday
3328,Monday
3329,Sunday
3330,Tuesday
3331,Friday
3332,Monday
3333,Tuesday
3334,Saturday
3335,Saturday
3336,Monday
3337,Friday
3338,Tuesday
3339,Saturday
3340,Monday
3341,Saturday
3342,Friday
3343,Wed
3344,Tuesday
3345,Sunday
3346,Tuesday
3347,Sunday
3348,Sunday
3349,Friday
3350,Tuesday
3351,Sunday
3352,Tuesday
3353,Thurs
3354,Monday
3355,Saturday
3356,Friday
3357,Monday
3358,Thurs
3359,Saturday
3360,Sunday
3361,Thurs
3362,Thurs
3363,Saturday
3364,Tuesday
3365,Sunday
3366,Thurs
3367,Wed
3368,Tuesday
3369,Sunday
3370,Wed
3371,Tuesday
3372,Friday
3373,Wed
3374,Saturday
3375,Tuesday
3376,Wed
3377,Tuesday
3378,Saturday
3379,Sunday
3380,Sunday
3381,Sunday
3382,Sunday
3383,Monday
3384,Saturday
3385,Friday
3386,Thurs
3387,Friday
3388,Monday
3389,Thurs
3390,Sunday
3391,Monday
3392,Thurs
3393,Monday
3394,Thurs
3395,Monday
3396,Saturday
3397,Friday
3398,Thurs
3399,Friday
3400,Sunday
3401,Friday
3402,Thurs
3403,Thurs
3404,Friday
3405,Friday
3406,Friday
3407,Tuesday
3408,Monday
3409,Thurs
3410,Thurs
3411,Friday
3412,Thurs
3413,Friday
3414,Saturday
3415,Tuesday
3416,Friday
3417,Thurs
3418,Tuesday
3419,Friday
3420,Saturday
3421,Saturday
3422,Wed
3423,Wed
3424,Saturday
3425,Saturday
3426,Friday
3427,Saturday
3428,Monday
3429,Tuesday
3430,Sunday
3431,Tuesday
3432,Sunday
3433,Wed
3434,Monday
3435,Wed
3436,Saturday
3437,Sunday
3438,Tuesday
3439,Monday
3440,Sunday
3441,Tuesday
3442,Friday
3443,Friday
3444,Tuesday
3445,Saturday
3446,Wed
3447,Thurs
3448,Saturday
3449,Wed
3450,Wed
3451,Saturday
3452,Tuesday
3453,Sunday
3454,Wed
3455,Thurs
3456,Friday
3457,Thurs
3458,Wed
3459,Friday
3460,Sunday
3461,Tuesday
3462,Saturday
3463,Sunday
3464,Monday
3465,Thurs
3466,Saturday
3467,Friday
3468,Saturday
3469,Friday
3470,Tuesday
3471,Friday
3472,Sunday
3473,Monday
3474,Wed
3475,Tuesday
3476,Thurs
3477,Friday
3478,Tuesday
3479,Thurs
3480,Saturday
3481,Thurs
3482,Monday
3483,Sunday
3484,Sunday
3485,Friday
3486,Sunday
3487,Monday
3488,Wed
3489,Monday
3490,Thurs
3491,Wed
3492,Thurs
3493,Wed
3494,Monday
3495,Saturday
3496,Friday
3497,Monday
3498,Sunday
3499,Sunday
3500,Friday
3501,Thurs
3502,Friday
3503,Friday
3504,Sunday
3505,Wed
3506,Saturday
3507,Wed
3508,Friday
3509,Thurs
3510,Friday
3511,Monday
3512,Tuesday
3513,Thurs
3514,Sunday
3515,Tuesday
3516,Tuesday
3517,Sunday
3518,Saturday
3519,Wed
3520,Sunday
3521,Tuesday
3522,Thurs
3523,Wed
3524,Wed
3525,Friday
3526,Sunday
3527,Friday
3528,Tuesday
3529,Tuesday
3530,Thurs
3531,Tuesday
3532,Saturday
3533,Tuesday
3534,Tuesday
3535,Tuesday
3536,Wed
3537,Thurs
3538,Saturday
3539,Saturday
3540,Sunday
3541,Monday
3542,Monday
3543,Tuesday
3544,Friday
3545,Wed
3546,Friday
3547,Monday
3548,Tuesday
3549,Sunday
3550,Tuesday
3551,Monday
3552,Thurs
3553,Sunday
3554,Sunday
3555,Monday
3556,Tuesday
3557,Saturday
3558,Sunday
3559,Thurs
3560,Sunday
3561,Wed
3562,Saturday
3563,Friday
3564,Saturday
3565,Saturday
3566,Wed
3567,Thurs
3568,Sunday
3569,Tuesday
3570,Friday
3571,Thurs
3572,Monday
3573,Sunday
3574,Wed
3575,Wed
3576,Monday
3577,Saturday
3578,Thurs
3579,Thurs
3580,Sunday
3581,Tuesday
3582,Saturday
3583,Monday
3584,Sunday
3585,Saturday
3586,Thurs
3587,Thurs
3588,Wed
3589,Sunday
3590,Saturday
3591,Sunday
3592,Thurs
3593,Sunday
3594,Sunday
3595,Saturday
3596,Friday
3597,Friday
3598,Friday
3599,Wed
3600,Monday
3601,Monday
3602,Sunday
3603,Friday
3604,Wed
3605,Friday
3606,Monday
3607,Sunday
3608,Tuesday
3609,Friday
3610,Sunday
3611,Saturday
3612,Monday
3613,Wed
3614,Friday
3615,Monday
3616,Wed
3617,Sunday
3618,Friday
3619,Monday
3620,Wed
3621,Monday
3622,Wed
3623,Friday
3624,Friday
3625,Thurs
3626,Thurs
3627,Wed
3628,Monday
3629,Tuesday
3630,Sunday
3631,Saturday
3632,Sunday
3633,Tuesday
3634,Wed
3635,Friday
3636,Saturday
3637,Monday
3638,Monday
3639,Thurs
3640,Tuesday
3641,Thurs
3642,Wed
3643,Thurs
3644,Friday
3645,Tuesday
3646,Sunday
3647,Saturday
3648,Tuesday
3649,Wed
3650,Wed
3651,Tuesday
3652,Friday
3653,Sunday
3654,Friday
3655,Saturday
3656,Monday
3657,Monday
3658,Saturday
3659,Friday
3660,Thurs
3661,Monday
3662,Sunday
3663,Tuesday
3664,Thurs
3665,Sunday
3666,Friday
3667,Saturday
3668,Sunday
3669,Thurs
3670,Saturday
3671,Sunday
3672,Wed
3673,Friday
3674,Friday
3675,Tuesday
3676,Sunday
3677,Friday
3678,Wed
3679,Saturday
3680,Friday
3681,Wed
3682,Wed
3683,Tuesday
3684,Monday
3685,Friday
3686,Friday
3687,Sunday
3688,Monday
3689,Tuesday
3690,Sunday
3691,Monday
3692,Wed
3693,Thurs
3694,Friday
3695,Tuesday
3696,Saturday
3697,Monday
3698,Monday
3699,Sunday
3700,Saturday
3701,Sunday
3702,Sunday
3703,Sunday
3704,Thurs
3705,Monday
3706,Saturday
3707,Monday
3708,Friday
3709,Wed
3710,Sunday
3711,Tuesday
3712,Friday
3713,Thurs
3714,Friday
3715,Tuesday
3716,Sunday
3717,Friday
3718,Sunday
3719,Monday
3720,Wed
3721,Thurs
3722,Friday
3723,Monday
3724,Sunday
3725,Thurs
3726,Friday
3727,Wed
3728,Friday
3729,Friday
3730,Friday
3731,Sunday
3732,Friday
3733,Monday
3734,Friday
3735,Saturday
3736,Thurs
3737,Wed
3738,Saturday
3739,Wed
3740,Tuesday
3741,Monday
3742,Wed
3743,Tuesday
3744,Monday
3745,Wed
3746,Wed
3747,Friday
3748,Wed
3749,Saturday
3750,Thurs
3751,Friday
3752,Saturday
3753,Sunday
3754,Thurs
3755,Monday
3756,Friday
3757,Monday
3758,Monday
