,month
799,7
800,7
801,10
802,11
803,4
804,11
805,4
806,2
807,10
808,7
809,12
810,9
811,3
812,1
813,1
814,2
815,6
816,7
817,12
818,11
819,11
820,7
821,5
822,3
823,6
824,7
825,10
826,6
827,4
828,8
829,4
830,12
831,6
832,1
833,11
834,8
835,8
836,11
837,1
838,11
839,7
840,5
841,9
842,8
843,3
844,10
845,7
846,4
847,3
848,3
849,8
850,5
851,2
852,2
853,12
854,11
855,12
856,12
857,10
858,2
859,4
860,12
861,5
862,9
863,6
864,11
865,7
866,6
867,3
868,4
869,9
870,7
871,10
872,9
873,3
874,12
875,3
876,6
877,4
878,10
879,6
880,6
881,9
882,9
883,3
884,11
885,3
886,3
887,7
888,8
889,8
890,1
891,10
892,9
893,6
894,5
895,11
896,1
897,2
898,8
899,4
900,2
901,11
902,7
903,2
904,2
905,11
906,1
907,2
908,7
909,4
910,6
911,4
912,2
913,6
914,5
915,10
916,11
917,6
918,9
919,3
920,10
921,11
922,3
923,6
924,6
925,11
926,2
927,11
928,2
929,11
930,10
931,5
932,12
933,12
934,1
935,9
936,12
937,8
938,7
939,1
940,12
941,12
942,7
943,4
944,11
945,9
946,3
947,12
948,12
949,3
950,8
951,9
952,5
953,6
954,3
955,9
956,5
957,6
958,11
959,3
960,11
961,5
962,7
963,8
964,1
965,2
966,12
967,9
968,2
969,7
970,1
971,5
972,5
973,8
974,11
975,8
976,6
977,8
978,5
979,8
980,11
981,9
982,11
983,6
984,4
985,7
986,9
987,12
988,9
989,5
990,3
991,6
992,9
993,12
994,12
995,4
996,9
997,8
998,8
999,8
1000,7
1001,11
1002,11
1003,10
1004,12
1005,4
1006,7
1007,2
1008,3
1009,12
1010,1
1011,4
1012,4
1013,6
1014,2
1015,6
1016,6
1017,6
1018,11
1019,10
1020,11
1021,10
1022,6
1023,3
1024,12
1025,3
1026,9
1027,3
1028,1
1029,1
1030,4
1031,12
1032,7
1033,3
1034,3
1035,9
1036,9
1037,2
1038,6
1039,8
1040,11
1041,5
1042,9
1043,12
1044,9
1045,2
1046,10
1047,11
1048,2
1049,3
1050,12
1051,4
1052,7
1053,6
1054,3
1055,11
1056,11
1057,12
1058,8
1059,7
1060,11
1061,8
1062,8
1063,8
1064,1
1065,9
1066,7
1067,4
1068,5
1069,12
1070,6
1071,12
1072,1
1073,2
1074,12
1075,10
1076,10
1077,7
1078,10
1079,6
1080,8
1081,3
1082,9
1083,10
1084,9
1085,2
1086,8
1087,9
1088,12
1089,1
1090,5
1091,10
1092,8
1093,8
1094,1
1095,5
1096,10
1097,12
1098,3
1099,6
1100,7
1101,1
1102,9
1103,6
1104,9
1105,6
1106,7
1107,5
1108,6
1109,3
1110,4
1111,6
1112,5
1113,5
1114,12
1115,5
1116,11
1117,4
1118,12
1119,12
1120,11
1121,9
1122,2
1123,1
1124,3
1125,3
1126,7
1127,1
1128,3
1129,11
1130,10
1131,5
1132,9
1133,9
1134,12
1135,4
1136,10
1137,4
1138,8
1139,6
1140,11
1141,3
1142,10
1143,2
1144,2
1145,3
1146,9
1147,3
1148,12
1149,7
1150,4
1151,1
1152,8
1153,4
1154,12
1155,9
1156,9
1157,1
1158,2
1159,7
1160,10
1161,2
1162,8
1163,9
1164,11
1165,12
1166,6
1167,4
1168,8
1169,10
1170,6
1171,6
1172,4
1173,10
1174,6
1175,9
1176,9
1177,6
1178,12
1179,3
1180,7
1181,2
1182,4
1183,1
1184,10
1185,3
1186,6
1187,4
1188,2
1189,5
1190,11
1191,3
1192,5
1193,8
1194,5
1195,2
1196,6
1197,2
1198,7
1199,5
1200,7
1201,12
1202,11
1203,10
1204,12
1205,5
1206,6
1207,12
1208,4
1209,9
1210,4
1211,9
1212,5
1213,8
1214,11
1215,11
1216,5
1217,6
1218,4
1219,10
1220,11
1221,2
1222,11
1223,1
1224,9
1225,6
1226,10
1227,3
1228,12
1229,9
1230,8
1231,3
1232,2
1233,6
1234,2
1235,10
1236,10
1237,11
1238,2
1239,1
1240,5
1241,6
1242,2
1243,4
1244,2
1245,2
1246,2
1247,10
1248,3
1249,7
1250,11
1251,3
1252,1
1253,3
1254,11
1255,8
1256,6
1257,10
1258,4
1259,7
1260,5
1261,10
1262,6
1263,6
1264,6
1265,10
1266,1
1267,8
1268,9
1269,6
1270,11
1271,11
1272,2
1273,5
1274,3
1275,7
1276,2
1277,10
1278,3
1279,11
1280,7
1281,6
1282,11
1283,6
1284,8
1285,7
1286,4
1287,1
1288,7
1289,11
1290,2
1291,12
1292,12
1293,12
1294,11
1295,6
1296,12
1297,1
1298,11
1299,3
1300,2
1301,9
1302,6
1303,12
1304,7
1305,12
1306,4
1307,9
1308,8
1309,12
1310,11
1311,5
1312,2
1313,3
1314,6
1315,3
1316,1
1317,10
1318,11
1319,5
1320,12
1321,7
1322,1
1323,5
1324,7
1325,3
1326,9
1327,8
1328,12
1329,7
1330,11
1331,10
1332,9
1333,4
1334,11
1335,6
1336,2
1337,9
1338,11
1339,10
1340,5
1341,5
1342,10
1343,9
1344,5
1345,7
1346,11
1347,12
1348,5
1349,7
1350,8
1351,10
1352,5
1353,12
1354,7
1355,12
1356,8
1357,8
1358,10
1359,2
1360,4
1361,12
1362,9
1363,6
1364,2
1365,3
