,month
2996,5
2997,2
2998,12
2999,9
3000,11
3001,9
3002,4
3003,9
3004,8
3005,11
3006,7
3007,9
3008,7
3009,4
3010,9
3011,1
3012,12
3013,5
3014,7
3015,3
3016,3
3017,7
3018,11
3019,3
3020,8
3021,2
3022,11
3023,6
3024,11
3025,3
3026,11
3027,6
3028,2
3029,3
3030,7
3031,2
3032,4
3033,8
3034,2
3035,8
3036,10
3037,10
3038,11
3039,3
3040,6
3041,11
3042,11
3043,7
3044,8
3045,12
3046,5
3047,12
3048,4
3049,12
3050,2
3051,3
3052,7
3053,10
3054,3
3055,2
3056,5
3057,10
3058,8
3059,11
3060,6
3061,8
3062,11
3063,6
3064,6
3065,6
3066,2
3067,9
3068,5
3069,8
3070,6
3071,9
3072,3
3073,11
3074,4
3075,10
3076,9
3077,9
3078,8
3079,12
3080,8
3081,5
3082,8
3083,12
3084,5
3085,10
3086,1
3087,11
3088,2
3089,2
3090,4
3091,8
3092,4
3093,4
3094,6
3095,2
3096,7
3097,3
3098,7
3099,1
3100,9
3101,11
3102,8
3103,10
3104,10
3105,11
3106,12
3107,9
3108,5
3109,8
3110,5
3111,6
3112,9
3113,9
3114,5
3115,5
3116,10
3117,1
3118,3
3119,7
3120,1
3121,1
3122,12
3123,11
3124,5
3125,4
3126,5
3127,11
3128,1
3129,3
3130,8
3131,1
3132,9
3133,12
3134,2
3135,11
3136,4
3137,7
3138,4
3139,4
3140,7
3141,9
3142,8
3143,7
3144,11
3145,12
3146,1
3147,3
3148,11
3149,3
3150,11
3151,5
3152,3
3153,6
3154,9
3155,12
3156,6
3157,2
3158,4
3159,9
3160,1
3161,10
3162,7
3163,11
3164,4
3165,3
3166,10
3167,2
3168,8
3169,3
3170,2
3171,8
3172,6
3173,12
3174,3
3175,8
3176,1
3177,7
3178,12
3179,11
3180,11
3181,4
3182,10
3183,2
3184,2
3185,3
3186,10
3187,6
3188,12
3189,2
3190,6
3191,5
3192,3
3193,7
3194,4
3195,12
3196,4
3197,1
3198,12
3199,2
3200,12
3201,2
3202,2
3203,10
3204,9
3205,3
3206,8
3207,10
3208,10
3209,6
3210,2
3211,6
3212,8
3213,11
3214,2
3215,12
3216,5
3217,10
3218,1
3219,5
3220,2
3221,8
3222,11
3223,10
3224,8
3225,6
3226,5
3227,4
3228,4
3229,12
3230,10
3231,1
3232,3
3233,5
3234,10
3235,6
3236,3
3237,12
3238,11
3239,10
3240,5
3241,2
3242,10
3243,5
3244,8
3245,4
3246,2
3247,4
3248,9
3249,4
3250,10
3251,11
3252,12
3253,10
3254,4
3255,7
3256,8
3257,11
3258,6
3259,4
3260,5
3261,1
3262,7
3263,12
3264,11
3265,9
3266,2
3267,5
3268,12
3269,2
3270,11
3271,7
3272,11
3273,10
3274,8
3275,12
3276,8
3277,9
3278,7
3279,6
3280,5
3281,6
3282,5
3283,2
3284,8
3285,10
3286,2
3287,10
3288,3
3289,9
3290,6
3291,12
3292,11
3293,3
3294,4
3295,2
3296,9
3297,5
3298,2
3299,9
3300,7
3301,3
3302,5
3303,6
3304,6
3305,2
3306,7
3307,8
3308,9
3309,1
3310,2
3311,5
3312,6
3313,11
3314,1
3315,11
3316,9
3317,11
3318,6
3319,6
3320,10
3321,12
3322,12
3323,2
3324,3
3325,7
3326,8
3327,2
3328,7
3329,10
3330,4
3331,3
3332,12
3333,3
3334,5
3335,11
3336,2
3337,11
3338,11
3339,7
3340,10
3341,12
3342,7
3343,6
3344,4
3345,9
3346,8
3347,1
3348,2
3349,11
3350,11
3351,12
3352,5
3353,5
3354,2
3355,7
3356,3
3357,7
3358,10
3359,4
3360,2
3361,1
3362,6
3363,3
3364,7
3365,6
3366,10
3367,12
3368,11
3369,7
3370,6
3371,3
3372,11
3373,3
3374,8
3375,3
3376,8
3377,12
3378,9
3379,4
3380,12
3381,3
3382,11
3383,11
3384,2
3385,7
3386,7
3387,6
3388,5
3389,10
3390,5
3391,12
3392,10
3393,7
3394,11
3395,11
3396,6
3397,6
3398,8
3399,8
3400,3
3401,3
3402,11
3403,12
3404,7
3405,7
3406,3
3407,1
3408,5
3409,4
3410,10
3411,6
3412,4
3413,8
3414,7
3415,6
3416,1
3417,8
3418,9
3419,3
3420,2
3421,10
3422,3
3423,4
3424,8
3425,10
3426,12
3427,4
3428,4
3429,4
3430,6
3431,10
3432,10
3433,2
3434,5
3435,10
3436,1
3437,1
3438,8
3439,10
3440,10
3441,10
3442,12
3443,5
3444,4
3445,7
3446,9
3447,5
3448,11
3449,7
3450,10
3451,12
3452,10
3453,4
3454,1
3455,1
3456,7
3457,1
3458,2
3459,2
3460,3
3461,4
3462,4
3463,1
3464,11
3465,10
3466,4
3467,3
3468,7
3469,11
3470,8
3471,11
3472,10
3473,5
3474,9
3475,7
3476,9
3477,10
3478,3
3479,10
3480,5
3481,2
3482,12
3483,1
3484,11
3485,10
3486,8
3487,6
3488,12
3489,6
3490,3
3491,7
3492,1
3493,3
3494,5
3495,7
3496,10
3497,2
3498,8
3499,7
3500,4
3501,9
3502,10
3503,10
3504,11
3505,1
3506,4
3507,11
3508,8
3509,10
3510,4
3511,12
3512,3
3513,3
3514,7
3515,7
3516,2
3517,9
3518,10
3519,2
3520,1
3521,9
3522,6
3523,6
3524,11
3525,11
3526,11
3527,11
3528,10
3529,4
3530,8
3531,8
3532,6
3533,1
3534,9
3535,1
3536,5
3537,2
3538,4
3539,6
3540,3
3541,5
3542,5
3543,6
3544,3
3545,2
3546,7
3547,6
3548,4
3549,4
3550,7
3551,9
3552,3
3553,12
3554,12
3555,10
3556,7
3557,10
3558,6
3559,11
3560,2
3561,5
3562,3
3563,1
3564,2
3565,1
3566,9
3567,10
3568,8
3569,10
3570,1
3571,8
3572,5
3573,1
3574,8
3575,3
3576,4
3577,6
3578,1
3579,11
3580,11
3581,7
3582,12
3583,8
3584,8
3585,3
3586,11
3587,12
3588,12
3589,12
3590,5
3591,6
3592,1
3593,6
3594,10
3595,4
3596,6
3597,2
3598,2
3599,4
3600,9
3601,12
3602,7
3603,12
3604,5
3605,8
3606,7
3607,10
3608,9
3609,1
3610,3
3611,9
3612,3
3613,3
3614,11
3615,5
3616,9
3617,3
3618,10
3619,12
3620,11
3621,8
3622,7
3623,1
3624,4
3625,12
3626,9
3627,6
3628,9
3629,6
3630,6
3631,1
3632,5
3633,3
3634,12
3635,3
3636,11
3637,8
3638,12
3639,3
3640,3
3641,6
3642,7
3643,10
3644,12
3645,9
3646,11
3647,7
3648,6
3649,5
3650,6
3651,9
3652,4
3653,4
3654,2
3655,8
3656,11
3657,12
3658,8
3659,1
3660,4
3661,10
3662,7
3663,9
3664,12
3665,1
3666,10
3667,11
3668,8
3669,8
3670,10
3671,5
3672,9
3673,2
3674,8
3675,4
3676,6
3677,2
3678,1
3679,8
3680,11
3681,12
3682,12
3683,2
3684,10
3685,11
3686,8
3687,4
3688,5
3689,5
3690,10
3691,3
3692,9
3693,7
3694,1
3695,12
3696,12
3697,9
3698,8
3699,7
3700,10
3701,11
3702,10
3703,11
3704,12
3705,5
3706,10
3707,9
3708,7
3709,1
3710,5
3711,3
3712,12
3713,3
3714,10
3715,8
3716,8
3717,6
3718,4
3719,6
3720,4
3721,7
3722,7
3723,7
3724,5
3725,6
3726,3
3727,4
3728,9
3729,9
3730,6
3731,10
3732,12
3733,12
3734,3
3735,6
3736,8
3737,4
3738,7
3739,10
3740,10
3741,1
3742,2
3743,10
3744,3
3745,5
3746,8
3747,1
3748,11
3749,2
3750,6
3751,1
3752,7
3753,2
3754,1
3755,12
3756,10
3757,2
3758,6
3759,1
3760,2
3761,10
3762,5
3763,3
3764,2
3765,2
3766,4
3767,6
3768,6
3769,3
3770,7
3771,1
3772,6
3773,7
3774,7
3775,6
3776,7
3777,12
3778,12
3779,1
3780,10
3781,11
3782,8
3783,4
3784,8
3785,11
3786,3
3787,6
3788,11
3789,2
3790,4
3791,11
3792,11
3793,11
3794,1
3795,3
3796,6
3797,12
3798,9
3799,3
3800,12
3801,7
3802,11
3803,10
3804,10
3805,2
3806,10
3807,12
3808,9
3809,7
3810,6
3811,10
3812,4
3813,5
3814,4
3815,12
3816,1
3817,2
3818,6
3819,1
3820,1
3821,7
3822,3
3823,7
3824,4
3825,1
3826,9
3827,1
3828,4
3829,3
3830,9
3831,2
3832,3
3833,5
3834,10
3835,11
3836,2
3837,10
3838,5
3839,7
3840,3
3841,12
3842,9
3843,1
3844,11
3845,4
3846,11
3847,9
3848,3
3849,8
3850,5
3851,5
3852,11
3853,6
3854,3
3855,3
3856,8
3857,6
3858,2
3859,7
3860,7
3861,5
3862,5
3863,8
3864,7
3865,10
3866,1
3867,5
3868,11
3869,5
3870,3
3871,8
3872,4
3873,6
3874,8
3875,5
3876,9
3877,6
3878,6
3879,4
3880,8
3881,12
3882,6
3883,2
3884,3
3885,11
3886,1
3887,4
3888,6
3889,11
3890,10
3891,1
3892,8
3893,9
3894,10
3895,12
3896,6
3897,2
3898,6
3899,5
3900,11
3901,8
3902,3
3903,3
3904,10
3905,3
3906,7
3907,8
3908,10
3909,2
3910,10
3911,9
3912,8
3913,2
3914,11
3915,7
3916,11
3917,10
3918,11
3919,8
3920,5
3921,11
3922,8
3923,9
3924,7
3925,6
3926,5
3927,3
3928,3
3929,8
3930,9
3931,2
3932,10
3933,11
3934,2
3935,5
3936,6
3937,1
3938,6
3939,4
3940,4
3941,5
3942,1
3943,2
3944,6
3945,8
3946,3
3947,9
3948,7
3949,4
3950,11
3951,2
3952,11
3953,7
3954,9
3955,1
3956,2
3957,7
3958,7
3959,12
3960,8
3961,9
3962,12
3963,1
3964,5
3965,4
3966,1
3967,1
3968,8
3969,4
3970,12
3971,12
3972,3
3973,4
3974,12
3975,3
3976,11
3977,2
3978,3
3979,4
3980,5
3981,10
3982,1
3983,1
3984,12
3985,2
3986,1
3987,7
3988,9
3989,11
3990,8
3991,11
3992,9
3993,7
3994,12
3995,3
3996,8
3997,12
3998,11
3999,11
4000,7
4001,8
4002,7
4003,12
4004,10
4005,6
4006,9
4007,7
4008,5
4009,10
4010,7
4011,12
4012,5
4013,5
4014,5
4015,11
4016,10
4017,1
4018,10
4019,7
4020,7
4021,10
4022,9
4023,8
4024,10
4025,3
4026,8
4027,12
4028,12
4029,10
4030,12
4031,7
4032,6
4033,3
4034,1
4035,2
4036,1
4037,3
4038,4
4039,9
4040,2
4041,11
4042,1
4043,12
4044,11
4045,5
4046,6
4047,10
4048,8
4049,5
4050,10
4051,3
4052,1
4053,7
4054,2
4055,11
4056,9
4057,7
4058,1
4059,11
4060,4
4061,12
4062,6
4063,11
4064,5
4065,5
4066,6
4067,1
4068,7
4069,3
4070,2
4071,7
4072,4
4073,3
4074,2
4075,6
4076,9
4077,6
4078,8
4079,12
4080,4
4081,4
4082,1
4083,10
4084,2
4085,1
4086,12
4087,6
4088,10
4089,8
4090,10
4091,5
4092,7
4093,1
4094,10
4095,11
4096,7
4097,8
4098,2
4099,11
4100,7
4101,4
4102,8
4103,12
4104,9
4105,1
4106,4
4107,6
4108,7
4109,3
4110,6
4111,5
4112,6
4113,5
4114,12
4115,9
4116,11
4117,8
4118,12
4119,9
4120,6
4121,5
4122,12
4123,3
4124,8
4125,12
4126,10
4127,10
4128,4
4129,2
4130,1
4131,10
4132,11
4133,12
4134,4
4135,3
4136,9
4137,11
4138,11
4139,7
4140,6
4141,9
4142,1
4143,4
4144,4
4145,12
4146,11
4147,1
4148,2
4149,3
4150,4
4151,1
4152,8
4153,5
4154,11
4155,11
4156,2
4157,1
4158,9
4159,3
4160,4
4161,11
4162,2
4163,6
4164,11
4165,2
4166,4
4167,5
4168,9
4169,8
4170,9
4171,6
4172,6
4173,2
4174,3
4175,7
4176,9
4177,10
4178,4
4179,2
4180,2
4181,1
4182,3
4183,8
4184,9
4185,11
4186,11
4187,3
4188,4
4189,11
4190,2
4191,5
4192,2
4193,1
4194,10
4195,2
4196,4
4197,10
4198,7
4199,6
4200,5
4201,7
4202,6
4203,8
4204,7
4205,3
4206,9
4207,9
4208,3
4209,7
4210,10
4211,5
4212,12
4213,1
4214,2
4215,2
4216,3
4217,11
4218,10
4219,1
4220,4
4221,6
4222,5
4223,11
4224,6
4225,6
4226,8
4227,5
4228,7
4229,3
4230,4
4231,1
4232,9
4233,8
4234,1
4235,9
4236,4
4237,4
4238,10
4239,12
4240,1
4241,4
4242,1
4243,11
4244,3
4245,2
4246,6
4247,11
4248,12
4249,12
4250,12
4251,12
4252,5
4253,9
4254,2
4255,9
4256,3
4257,11
4258,11
4259,7
4260,3
4261,9
4262,6
4263,1
4264,5
4265,1
4266,6
4267,1
4268,10
4269,11
4270,4
4271,7
4272,8
4273,10
4274,3
4275,6
4276,10
4277,12
4278,9
4279,5
4280,11
4281,7
4282,3
4283,5
4284,10
4285,8
4286,7
4287,5
4288,5
4289,4
4290,12
4291,10
4292,6
4293,11
4294,9
4295,10
4296,1
4297,4
4298,7
4299,2
4300,11
4301,12
4302,2
4303,1
4304,2
4305,7
4306,6
4307,12
4308,10
4309,10
4310,12
4311,11
4312,4
4313,3
4314,7
4315,5
4316,12
4317,9
4318,11
4319,10
4320,3
4321,7
4322,3
4323,11
4324,6
4325,9
4326,8
4327,3
4328,6
4329,8
4330,6
4331,10
4332,12
4333,4
4334,10
4335,1
4336,5
4337,9
4338,7
4339,4
4340,8
4341,10
4342,7
4343,6
4344,9
4345,6
4346,1
4347,4
4348,6
4349,2
4350,3
4351,3
4352,4
4353,12
4354,10
4355,12
4356,3
4357,12
4358,11
4359,8
4360,3
4361,3
4362,6
4363,11
4364,8
4365,6
4366,12
4367,9
4368,9
4369,7
4370,5
4371,9
4372,7
4373,2
4374,1
4375,6
4376,5
4377,10
4378,3
4379,10
4380,12
4381,2
4382,5
4383,11
4384,12
4385,3
4386,8
4387,6
4388,1
4389,4
4390,4
4391,9
4392,5
4393,12
4394,7
4395,11
4396,12
4397,2
4398,6
4399,9
4400,6
4401,10
4402,9
4403,9
4404,1
4405,7
4406,11
4407,11
4408,9
4409,10
4410,3
4411,7
4412,4
4413,2
4414,7
4415,6
4416,2
4417,1
4418,9
4419,11
4420,11
4421,1
4422,5
4423,9
4424,7
4425,10
4426,4
4427,5
4428,6
4429,10
4430,11
4431,9
4432,1
4433,8
4434,2
4435,6
4436,4
4437,2
4438,1
4439,5
4440,7
4441,1
4442,10
4443,5
4444,12
4445,2
4446,6
4447,3
4448,11
4449,9
4450,2
4451,7
4452,12
4453,11
4454,1
4455,9
4456,8
4457,1
4458,9
4459,9
4460,11
4461,4
4462,11
4463,12
4464,2
4465,4
4466,9
4467,9
4468,1
4469,10
4470,3
4471,10
4472,1
4473,2
4474,11
4475,6
4476,9
4477,10
4478,5
4479,12
4480,12
4481,11
4482,12
4483,4
4484,8
4485,8
4486,5
4487,12
4488,11
4489,3
4490,6
4491,10
4492,1
4493,3
4494,4
4495,3
4496,3
4497,6
4498,2
4499,4
4500,10
4501,7
4502,12
4503,3
4504,12
4505,2
4506,9
4507,10
4508,7
4509,5
4510,5
4511,11
4512,12
4513,9
4514,2
4515,1
4516,6
4517,11
4518,12
4519,12
4520,11
4521,8
4522,6
4523,10
4524,4
4525,8
4526,8
4527,1
4528,3
4529,5
4530,1
4531,11
4532,4
4533,5
4534,7
4535,9
4536,4
4537,4
4538,11
4539,10
4540,6
4541,1
4542,8
4543,12
4544,4
4545,3
4546,8
4547,2
4548,5
4549,11
4550,12
4551,10
4552,12
4553,12
4554,5
4555,12
4556,8
4557,2
4558,3
4559,8
4560,9
4561,2
4562,7
4563,2
4564,7
4565,5
4566,10
4567,5
4568,11
4569,9
4570,10
4571,3
4572,8
4573,8
4574,12
4575,6
4576,10
4577,3
4578,7
4579,11
4580,11
4581,11
4582,4
4583,4
4584,9
4585,7
4586,9
4587,11
4588,10
4589,3
4590,2
4591,7
4592,6
4593,2
4594,2
4595,6
4596,10
4597,1
4598,8
4599,4
4600,12
4601,10
4602,10
4603,3
4604,10
4605,9
4606,5
4607,2
4608,3
4609,12
4610,9
4611,1
4612,4
4613,10
4614,11
4615,9
4616,3
4617,1
4618,1
4619,8
4620,10
4621,12
4622,7
4623,11
4624,12
4625,8
4626,10
4627,11
4628,10
4629,6
4630,8
4631,7
4632,2
4633,1
4634,9
4635,3
4636,3
4637,1
4638,9
4639,10
4640,7
4641,11
4642,4
4643,6
4644,6
4645,12
4646,7
4647,5
4648,5
4649,3
4650,11
4651,4
4652,7
4653,12
4654,4
4655,2
4656,1
4657,2
4658,4
4659,5
4660,5
4661,9
4662,12
4663,10
4664,10
4665,8
4666,3
4667,12
4668,6
4669,3
4670,7
4671,3
4672,12
4673,5
4674,2
4675,5
4676,3
4677,9
4678,2
4679,11
4680,10
4681,3
4682,10
4683,12
4684,4
4685,3
4686,12
4687,9
4688,4
4689,5
4690,1
4691,2
4692,12
4693,2
4694,7
4695,6
4696,10
4697,8
4698,10
4699,6
4700,7
4701,4
4702,3
4703,11
4704,6
4705,12
4706,3
4707,4
4708,8
4709,10
4710,3
4711,2
4712,8
4713,9
4714,1
4715,4
4716,11
4717,12
4718,10
4719,1
4720,12
4721,1
4722,10
4723,9
4724,4
4725,9
4726,5
4727,9
4728,7
4729,8
4730,9
4731,5
4732,3
4733,4
4734,1
4735,5
4736,2
4737,12
4738,3
4739,11
4740,2
4741,5
4742,12
4743,6
4744,2
4745,4
4746,4
4747,4
4748,1
4749,7
4750,1
4751,5
4752,7
4753,8
4754,6
4755,10
4756,3
4757,4
4758,12
4759,6
4760,11
4761,11
4762,9
4763,8
4764,4
4765,5
4766,6
4767,9
4768,4
4769,11
4770,9
4771,4
4772,7
4773,8
4774,11
4775,7
4776,12
4777,5
4778,11
4779,9
4780,11
4781,6
4782,5
4783,11
4784,12
4785,12
4786,4
4787,6
4788,3
4789,3
4790,7
4791,5
4792,3
4793,3
4794,10
4795,8
4796,10
4797,12
4798,2
4799,7
4800,6
4801,10
4802,6
4803,11
4804,11
4805,7
4806,12
4807,10
4808,3
4809,2
4810,10
4811,2
4812,3
4813,4
4814,8
4815,6
4816,2
4817,1
4818,10
4819,2
4820,9
4821,7
4822,6
4823,11
4824,11
4825,8
4826,8
4827,5
4828,11
4829,11
4830,8
4831,2
4832,8
4833,12
4834,4
4835,11
4836,2
4837,10
4838,6
4839,5
4840,11
4841,8
4842,5
4843,2
4844,2
4845,8
4846,5
4847,8
4848,3
4849,3
4850,11
4851,6
4852,5
4853,1
4854,8
4855,5
4856,7
4857,7
4858,11
4859,5
4860,10
4861,9
4862,9
4863,5
4864,3
4865,1
4866,7
4867,10
4868,3
4869,1
4870,10
4871,4
4872,2
4873,4
4874,6
4875,12
4876,2
4877,1
4878,9
4879,1
4880,8
4881,12
4882,8
4883,12
4884,11
4885,6
4886,5
4887,7
4888,11
4889,2
4890,12
4891,5
4892,4
4893,8
4894,3
4895,2
4896,5
4897,12
4898,3
4899,10
4900,10
4901,8
4902,9
4903,12
4904,12
4905,6
4906,1
4907,6
4908,1
4909,4
4910,3
4911,7
4912,12
4913,4
4914,1
4915,9
4916,7
4917,8
4918,3
4919,9
